domain,dns_cn,dns_cn_count,dns_total,registrar_cn,registrant_cn,cn_tld,score,resolved_ips,matched_cidr,source,updated,sticky,bucket,dns_hk,dns_mo,dns_tw,dns_jp,dns_kr,dns_sg,provider,cdn_masked
coding.net,1,3,3,0,0,0,100,175.24.154.130|42.192.175.15|81.69.167.241,175.24.0.0/14|42.192.0.0/13|81.68.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Tencent,0
comic.qq.com,1,2,2,0,0,0,100,119.147.179.153|119.147.179.221,119.144.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
court.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cowtransfer.com,1,1,1,0,0,0,100,121.41.178.152,121.40.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
cpic.com.cn,1,2,2,0,0,1,100,116.236.67.182|220.196.85.123,116.224.0.0/12|220.192.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cppcc.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cqu.edu.cn,1,1,1,0,0,1,100,202.202.2.6,202.192.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cr12306.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
creditchina.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cri.cn,1,1,1,0,0,1,100,59.110.111.57,59.108.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
crpharm.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
crrc.com.cn,1,4,4,0,0,1,100,124.70.125.156|124.70.125.168|124.70.126.110|124.70.126.231,124.68.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
csdn.net,1,1,1,0,0,0,100,124.70.25.132,124.68.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
csg.cn,1,3,3,0,0,1,100,112.94.221.120|14.23.140.120|183.236.220.120,112.80.0.0/12|14.16.0.0/12|183.192.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cspc.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
csrc.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cssc.net,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
cstnet.cn,1,1,1,0,0,1,100,159.226.27.40,159.226.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
csu.edu.cn,1,1,1,0,0,1,100,222.247.53.90,222.240.0.0/13,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
ctrip.com,0,0,2,0,0,0,100,8.153.170.107|8.153.91.124,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,1,,0
ctyun.cn,1,1,1,0,0,1,100,117.89.29.106,117.80.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cufe.edu.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cumt.edu.cn,1,1,1,0,0,1,100,219.219.51.97,219.216.0.0/13,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
customs.gov.cn,0,0,1,0,0,1,100,202.127.48.0,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
czce.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
dahongpao.com.cn,0,0,1,0,0,1,100,43.133.41.184,,seed_cn,2026-05-07,1,CN,0,0,0,0,0,1,,0
dahua.com.cn,1,1,1,0,0,1,100,47.100.36.170,47.96.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
